PHASE	TESS
could	could
do	do
within	within
the	the
house	house
being	being
so	so
remunerative	remunerative
for	for
the	the
time	time
as	as
harvesting	harvesting
in	in
the	the
ﬁelds	fields
The	The
movements	movements
of	of
the	the
other	other
women	women
were	were
more	more
or	or
less	less
similar	similar
to	to
Tesss	Tesss
the	the
whole	whole
bevy	bevy
of	of
them	them
drawing	drawing
together	together
like	like
dancers	dancers
in	in
a	a
quadrille	quadrille
at	at
the	the
completion	completion
ofasheafbyeach	of
everyoneplacinghersheafonend	a
null	sheaf
null	by
null	each
null	every
null	one
null	placing
null	her
null	sheaf
null	on
null	end
against	against
those	those
of	of
the	the
rest	rest
till	till
a	a
shock	shock
or	or
‘stiteh	stitch
as	as
it	it
was	was
here	here
called	called
of	of
ten	ten
or	or
a	a
dozen	dozen
was	was
formed	formed
They	They
went	went
to	to
breakfast	breakfast
and	and
came	came
again	again
and	and
the	the
work	work
proceeded	proceeded
as	as
before	before
As	As
the	the
hour	hour
of	of
eleven	eleven
drew	drew
near	near
a	a
person	person
watching	watching
her	her
might	might
have	have
noticed	noticed
that	that
every	every
now	now
and	and
then	then
Tesss	Tesss
glance	glance
ﬂitted	flitted
wistfully	wistfully
2	null
MAIDEN	null
NO	null
MORE	null
to	to
the	the
brow	brow
of	of
the	the
hill	hill
though	though
she	she
did	did
not	not
pause	pause
in	in
her	her
sheaﬁng	sheafing
On	On
the	the
verge	verge
of	of
the	the
hour	hour
the	the
heads	heads
of	of
a	a
group	group
of	of
children	children
of	of
ages	ages
ranging	ranging
from	from
six	six
to	to
fourteen	fourteen
rose	rose
above	over
the	the
stubbly	stubbly
convexity	convexity
of	of
the	the
hill	hill
The	The
face	face
of	of
Tess	Tess
ﬂushed	flushed
slightly	slightly
but	but
still	still
she	she
did	did
not	not
pause	pause
The	The
eldest	eldest
of	of
the	the
corners	comers
a	a
girl	girl
who	who
wore	wore
a	a
triangular	triangular
shawl	shawl
its	its
corner	corner
draggling	draggling
on	on
the	the
stubble	stubble
carried	carried
in	in
her	her
arms	arms
what	what
at	at
ﬁrst	first
sight	sight
seemed	seemed
to	to
be	be
a	a
doll	doll
but	but
proved	proved
to	to
be	be
an	an
infant	infant
in	in
long	long
clothes	clothes
Another	Another
brought	brought
some	some
lunch	lunch
The	The
harvesters	harvesters
ceased	ceased
working	working
took	took
their	their
provisions	provisions
and	and
sat	sat
down	down
against	against
one	one
of	of
the	the
shocks	shocks
Here	Here
they	they
fell	fell
to	to
the	the
men	men
plying	plying
a	a
stone	stone
jar	jar
freely	freely
and	and
passing	passing
round	round
a	a
cup	cup
Tess	Tess
Durbeyﬁeld	Durbeyfield
had	had
been	been
one	one
of	of
the	the
last	last
to	to
suspend	suspend
her	her
labours	labours
She	She
sat	sat
down	down
at	at
the	the
end	end
of	of
the	the
shock	shock
her	her
face	face
turned	turned
somewhat	somewhat
away	away
from	from
her	her
oompanions	companions
Whenshehaddepositedherselfamanina	When
null	she
null	had
null	deposited
null	herself
null	a
null	man
null	in
null	a
rabbitskin	rabbitskin
cap	cap
and	and
with	with
a	a
red	red
handkerchief	handkerchief
tucked	tucked
into	into
his	his
belt	belt
held	held
the	the
cup	cup
of	of
ale	ale
over	over
the	the
top	top
of	of
the	the
shock	shock
for	for
her	her
to	to
drink	drink
But	But
she	she
did	did
not	not
accept	accept
his	his
oﬂer	offer
As	As
soon	soon
as	as
her	her
lunch	lunch
was	was
spread	spread
she	she
called	called
up	up
the	the
big	big
girl	girl
her	her
sister	sister
and	and
took	took
the	the
baby	baby
of	of
her	her
who	who
glad	glad
to	to
be	be
relieved	relieved
of	of
the	the
burden	burden
went	went
away	away
to	to
the	the
next	next
shock	shock
and	and
joined	joined
the	the
other	other
children	children
playing	playing
there	there
Tess	Tess
with	with
a	a
curiously	curiously
stealthy	stealthy
yet	yet
courageous	courageous
movement	movement
and	and
with	with
a	a
still	still
rising	rising
colour	colour
unfastened	unfastened
her	her
frock	frock
and	and
began	began
suckling	suckling
the	the
child	child
The	The
men	men
who	who
sat	sat
nearest	nearest
considerater	considerately
turned	turned
their	their
faces	faces
towards	towards
the	the
other	other
end	end
of	of
the	the
ﬁeld	field
some	some
of	of
them	them
beginning	beginning
to	to
smoke	smoke
one	one
with	with
absentminded	absentminded
fondness	fondness
regretftu	regretfully
stroking	stroking
the	the
jar	jar
that	that
would	would
no	no
longer	longer
yield	yield
a	a
stream	stream
All	All
the	the
women	women
but	but
Tess	Tess
fell	fell
into	into
animated	animated
talk	talk
and	and
adjusted	adjusted
the	the
disarranged	disarranged
lcnots	knots
of	of
their	their
hair	hair
When	When
the	the
infant	infant
had	had
taken	taken
its	its
ﬁll	fill
the	the
young	young
mother	mother
sat	sat
it	it
upright	upright
in	in
her	her
lap	lap
and	and
looking	looking
into	into
the	the
far	far
distance	distance
dandled	dandled
it	it
with	with
a	a
gloomy	gloomy
indifference	indifference
that	that
wasalmostdislikethenallofasuddenshefellto	was
n3	almost
TESS	dislike
OF	then
THE	all
D’URBERVILLES	of
null	a
null	sudden
null	she
null	fell
null	to
violently	violently
kissing	kissing
it	it
some	some
dozens	dozens
of	of
times	times
as	as
if	if
she	she
could	could
never	never
leave	leave
all	off
the	the
child	child
crying	crying
at	at
the	the
vehemenoe	vehemence
of	of
an	an
onset	onset
which	which
strangely	strangely
combined	combined
passionateness	passionateness
with	with
contempt	contempt
‘She’s	Shes
fond	fond
of	of
that	that
there	there
child	child
though	though
she	she
mid	mid
pretend	pretend
to	to
hate	hate
en	en
and	and
say	say
she	she
wishes	wishes
the	the
baby	baby
and	and
her	her
too	too
were	were
in	in
the	the
churchyard’	churchyard
observed	observed
the	the
woman	woman
in	in
the	the
red	red
pettiooat	petticoat
‘Shell	Shell
soon	soon
leave	leave
off	off
saying	saying
that’	that
replied	replied
the	the
one	one
in	in
buff	buff
‘Lord	Lord
tis	tis
wonderful	wonderful
what	what
a	a
body	body
can	can
get	get
used	used
to	to
0’	o
that	that
sort	sort
in	in
time’	time
‘A	A
little	little
more	more
than	than
persuading	persuading
had	had
to	to
do	do
wi	wi
the	the
coming	coming
ot	ot
I	I
reckon	reckon
There	There
were	were
they	they
that	that
heard	heard
a	a
sobbing	sobbing
one	one
night	night
last	last
year	year
in	in
The	The
Chase	Chase
and	and
it	it
mid	mid
gla’gonehardwi’aoertainpartyiffolkshadoome	ha
ong’	gone
‘Well	hard
null	wi
a	a
null	certain
null	party
null	if
null	folks
null	had
null	come
null	along
null	Well
null	a
little	little
more	more
or	or
a	a
little	little
less	less
twas	twas
a	a
thousand	thousand
pities	pities
that	that
it	it
should	should
have	have
happened	happened
to	to
she	she
of	of
all	all
others	others
But	But
’tis	tis
always	always
the	the
oomeliest	comeliest
The	The
plain	plain
ones	ones
he	be
as	as
safe	safe
as	as
churches—hey	churcheshey
Jenny	Jenny
The	The
speakertumedtooneofthegmupwhoeertainlywas	speaker
null	turned
null	to
null	one
null	of
null	the
null	group
null	who
null	certainly
null	was
not	not
illdeﬁned	illdefined
as	as
plain	plain
It	It
was	was
a	a
thousand	thousand
pities	pities
indeed	indeed
it	it
was	was
impossible	impossible
forevenanenemytofeelotherwiseonlookingat	for
null	even
null	an
null	enemy
null	to
null	feel
null	otherwise
null	on
null	looking
null	at
Tess	Tess
as	as
she	she
sat	sat
there	there
with	with
her	her
ﬂowerolike	flowerlike
mouth	mouth
and	and
large	large
tender	tender
eyes	eyes
neither	neither
black	black
nor	nor
blue	blue
nor	nor
gray	grey
nor	nor
violet	violet
rather	rather
all	all
those	those
shades	shades
together	together
and	and
a	a
hundred	hundred
others	others
which	which
could	could
be	be
seen	seen
if	if
one	one
looked	looked
into	into
their	their
irises—shade	irisesshade
behind	behind
shade—tint	shadetint
beyond	beyond
tint—around	tintaround
pupils	pupils
that	that
had	had
no	no
bottom	bottom
an	an
almost	almost
standard	standard
woman	woman
but	but
for	for
the	the
slight	slight
incautiousness	incautiousness
of	of
character	character
inherited	inherited
from	from
her	her
race	race
A	A
resolution	resolution
which	which
had	had
surprised	surprised
herself	herself
had	had
brought	brought
her	her
into	into
the	the
ﬁelds	fields
this	this
week	week
for	for
the	the
ﬁrst	first
time	time
during	during
many	many
months	months
After	After
wearing	wearing
and	and
wasting	wasting
her	her
palpitating	palpitating
heart	heart
with	with
every	every
engine	engine
of	of
regret	regret
that	that
lonely	lonely
inexperience	inexperience
could	could
devise	devise
commonsense	common
null	sense
had	had
illumined	illuminated
her	her
She	She
felt	felt
that	that
she	she
would	would
do	do
well	well
to	to
be	be
useful	useful
again—to	againto
taste	taste
anew	anew
sweet	sweet
independence	independence
at	at
In	null
MAIDEN	null
NO	null
MORE	null
any	any
price	price
The	The
past	past
was	was
past	past
whatever	whatever
it	it
had	had
been	been
it	it
was	was
no	no
more	more
at	at
hand	hand
Whatever	Whatever
its	its
consequences	consequences
time	time
would	would
close	close
over	over
them	them
they	they
would	would
all	all
in	in
a	a
few	few
yearsbeasiftheyhadneverbeen	years
andsheherself	be
null	as
null	if
null	they
null	had
null	never
null	been
null	and
null	she
null	herself
grassed	grassed
down	down
and	and
forgotten	forgotten
Meanwhile	Meanwhile
the	the
trees	trees
werejustasgreenasbeforethebirdssangandthe	were
null	just
null	as
null	green
null	as
null	before
null	the
null	birds
null	sang
null	and
null	the
sun	sun
shone	shone
as	as
clearly	clearly
now	now
as	as
ever	ever
The	The
familiar	familiar
surroundings	surroundings
had	had
not	not
darkened	darkened
because	because
of	of
her	her
grief	grief
nor	nor
sickened	sickened
because	because
of	of
her	her
pain	pain
She	She
might	might
have	have
seen	seen
that	that
what	what
had	had
bowed	bowed
her	her
head	head
so	so
profoundly—the	profoundlythe
thought	thought
of	of
the	the
worlds	worlds
con—	concern
cern	null
at	at
her	her
situation—was	situationwas
founded	founded
on	on
an	an
illusion	illusion
She	She
was	was
not	not
an	an
existence	existence
an	an
experience	experience
a	a
passion	passion
a	a
structure	structure
of	of
sensations	sensations
to	to
anybody	anybody
but	but
herself	herself
To	To
all	all
humankind	humankind
besides	besides
Tess	Tess
was	was
only	only
a	a
passing	passing
thought	thought
Even	Even
to	to
friends	friends
she	she
was	was
no	no
more	more
than	than
a	a
frequently	frequently
passing	passing
thought	thought
If	If
she	she
made	made
herself	herself
miserable	miserable
the	the
livelong	livelong
night	night
and	and
day	day
it	it
was	was
only	only
this	this
much	much
to	to
them	themAh
——‘Ah	null
she	she
makes	makes
herself	herself
unhappy’	unhappy
If	If
she	she
tried	tried
to	to
becheerfultodisrnissallcaretotakep1easureinthe	be
null	cheerful
null	to
null	dismiss
null	all
null	care
null	to
null	take
null	pleasure
null	in
null	the
daylight	daylight
the	the
ﬂowers	flowers
the	the
baby	baby
she	she
could	could
only	only
be	be
this	this
idea	idea
to	to
them—‘	themAh
Ah’	null
she	she
bears	bears
it	it
very	very
well’	well
Moreover	Moreover
alone	alone
in	in
a	a
desert	desert
island	island
would	would
she	she
have	have
been	been
wretched	wretched
at	at
what	what
had	had
happened	happened
to	to
her	her
Not	Not
greatly	greatly
If	If
she	she
could	could
have	have
been	been
but	but
just	just
created	created
to	to
discover	discover
herself	herself
as	as
a	a
spouseless	spouseless
mother	mother
with	with
no	no
experience	experience
of	of
life	life
except	except
as	as
the	the
parent	parent
of	of
a	a
nameless	nameless
child	child
would	would
the	the
position	position
have	have
caused	caused
her	her
to	to
despair	despair
No	No
she	she
would	would
have	have
taken	taken
it	it
calmly	calmly
and	and
found	found
pleasures	pleasure
therein	therein
Most	Most
of	of
the	the
misery	misery
had	had
been	been
generated‘by	generated
null	by
her	her
conventional	conventional
aspect	aspect
and	and
not	not
by	by
her	her
innate	innate
sensations	sensations
Whatever	Whatever
Tesss	Tesss
reasoning	reasoning
some	some
spirit	spirit
had	had
induced	induced
her	her
to	to
dress	dress
herself	herself
up	up
neatly	neatly
as	as
she	she
had	had
formerly	formerly
done	done
and	and
come	come
out	out
into	into
the	the
ﬁelds	fields
harvesthands	harvesthands
being	being
greatly	greatly
in	in
demand	demand
just	just
then	then
This	This
was	was
why	why
she	she
had	had
borne	borne
herself	herself
with	with
dignity	dignity
and	and
had	had
looked	looked
people	people
calmly	calmly
in	in
the	the
face	face
at	at
times	times
even	even
when	when
holding	holding
the	the
baby	baby
in	in
her	her
arms	arms
The	The
harvestmen	harvestmen
rose	rose
from	from
the	the
shock	shock
of	of
corn	corn
and	and
xrs	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
stretched	stretched
their	their
limbs	limbs
and	and
extinguished	extinguished
their	their
pipes	pipes
The	The
horses	horses
which	which
had	had
been	been
unharnessed	unharnessed
and	and
fed	fed
were	were
again	again
attached	attached
to	to
the	the
scarlet	scarlet
machine	machine
Tess	Tess
having	having
quickly	quickly
eaten	eaten
her	her
own	own
meal	meal
beckoned	beckoned
to	to
her	her
eldest	eldest
sister	sister
to	to
come	come
and	and
take	take
away	away
the	the
baby	baby
fastened	fastened
her	her
dress	dress
put	put
on	on
the	the
buﬁ	buff
gloves	gloves
again	again
and	and
stooped	stooped
anew	anew
to	to
draw	draw
a	a
bond	bond
from	from
the	the
last	last
completed	completed
sheaf	sheaf
for	for
the	the
tying	tying
of	of
the	the
next	next
In	In
the	the
afternoon	afternoon
and	and
evening	evening
the	the
proceedings	proceedings
of	of
the	the
morning	morning
were	were
continued	continued
Tess	Tess
staying	staying
on	on
till	till
dusk	dusk
with	with
the	the
body	body
of	of
harvesters	harvesters
Then	Then
they	they
all	all
rode	rode
home	home
in	in
one	one
of	of
the	the
largest	largest
waggons	wagons
in	in
the	the
company	company
of	of
a	a
broad	broad
tarnished	tarnished
moon	moon
that	that
had	had
risen	risen
from	from
the	the
ground	ground
to	to
the	the
eastwards	eastwards
its	its
face	face
resembling	resembling
the	the
outworn	outworn
goldleaf	goldleaf
halo	halo
of	of
some	some
wormeaten	wormeaten
Tuscan	Tuscan
saint	saint
Tesss	Tesss
female	female
companions	companions
sang	sang
songs	songs
and	and
showed	showed
themselves	themselves
very	very
sympathetic	sympathetic
and	and
glad	glad
at	at
her	her
reappearance	reappearance
outofdoors	out
null	of
null	doors
though	though
they	they
could	could
not	not
refrain	refrain
from	from
mischievously	mischievously
throwing	throwing
in	in
a	a
few	few
verses	verses
of	of
the	the
ballad	ballad
about	about
the	the
maid	maid
who	who
went	went
to	to
the	the
merry	merry
green	green
wood	wood
and	and
came	came
back	back
a	a
changed	changed
state	state
There	There
are	are
counterpoises	counterpoises
and	and
compensations	compensations
in	in
life	life
and	and
the	the
event	event
which	which
hadmadeofherasocialwaminghadalsoforthe	had
null	made
null	of
null	her
null	a
null	social
null	warning
null	had
null	also
null	for
null	the
moment	moment
made	made
her	her
the	the
most	most
interesting	interesting
personage	personage
in	in
the	the
village	village
to	to
many	many
Their	Their
friendliness	friendliness
won	won
her	her
still	still
further	farther
away	away
from	from
herself	herself
their	their
lively	lively
spirits	spirits
were	were
contagious	contagious
and	and
she	she
became	became
almost	almost
gay	gay
But	But
now	now
that	that
her	her
moral	moral
sorrows	sorrows
were	were
null	passing
away	away
a	a
fresh	fresh
one	one
arose	arose
on	on
the	the
natural	natural
side	side
of	of
her	her
which	which
knew	knew
no	no
social	social
law	law
When	When
she	she
reached	reached
home	home
it	it
wastolearn	was
tohergiiefthatthebabyhadbeen	to
null	learn
null	to
null	her
null	grief
null	that
null	the
null	baby
null	had
null	been
suddenly	suddenly
taken	taken
ill	ill
since	since
the	the
afternoon	afternoon
Some	Some
such	such
collapse	collapse
had	had
been	been
probable	probable
so	so
tender	tender
